Method,Size,Coreset Ratio,Training Time (s),Accuracy,Recall (Detection Rate),Precision (Positive Predictive Value),F1-Score
Full Dataset,2017889,1.0,85.20816087722778,0.9394576122012477,0.9770240443317366,0.7443293620979572,0.8449487257589603
Coreset,20178,0.01,2.026768684387207,0.9333423196087799,0.9680543815159199,0.727366554635192,0.8306260294050983
Coreset,100894,0.05,4.334725618362427,0.9353305330513229,0.9736545505776275,0.731890708839311,0.8356374188867841
Coreset,201788,0.1,7.096616506576538,0.936761729567291,0.9785620362543439,0.7348403364308007,0.8393671765641837
